Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.4037238516160398
100% Corpus,9,0.31,0.61,0.39112395183413695
100% Corpus,9,0.31,0.9099999999999999,0.4059071495478596
100% Corpus,9,0.31,symmetric,0.43145124067530694
100% Corpus,9,0.61,0.01,0.41756352836647054
100% Corpus,9,0.61,0.31,0.3710135344105677
100% Corpus,9,0.61,0.61,0.3667249728388067
100% Corpus,9,0.61,0.9099999999999999,0.3854682598339211
100% Corpus,9,0.61,symmetric,0.3851427635383751
100% Corpus,9,0.9099999999999999,0.01,0.38836503476712336
100% Corpus,9,0.9099999999999999,0.31,0.32921154244695194
100% Corpus,9,0.9099999999999999,0.61,0.36312667004982147
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3741171235482301
100% Corpus,9,0.9099999999999999,symmetric,0.35093027907221097
100% Corpus,9,symmetric,0.01,0.42298235631551323
100% Corpus,9,symmetric,0.31,0.4030530349575112
100% Corpus,9,symmetric,0.61,0.37477158012331296
100% Corpus,9,symmetric,0.9099999999999999,0.39637863788654437
100% Corpus,9,symmetric,symmetric,0.3927608751621332
100% Corpus,9,asymmetric,0.01,0.38959627248258083
100% Corpus,9,asymmetric,0.31,0.3958798768595868
100% Corpus,9,asymmetric,0.61,0.38467838688445305
100% Corpus,9,asymmetric,0.9099999999999999,0.3997938443753287
100% Corpus,9,asymmetric,symmetric,0.44818760077212233
100% Corpus,10,0.01,0.01,0.3929475028399065
100% Corpus,10,0.01,0.31,0.379768829560778
100% Corpus,10,0.01,0.61,0.3565927447226948
100% Corpus,10,0.01,0.9099999999999999,0.3688876241703843
100% Corpus,10,0.01,symmetric,0.41702542335002796
100% Corpus,10,0.31,0.01,0.46631186249810386
100% Corpus,10,0.31,0.31,0.4209889884159127
100% Corpus,10,0.31,0.61,0.4086522719017166
100% Corpus,10,0.31,0.9099999999999999,0.44329647122272303
100% Corpus,10,0.31,symmetric,0.41451015961985427
100% Corpus,10,0.61,0.01,0.4274993300778955
100% Corpus,10,0.61,0.31,0.38655958649500627
100% Corpus,10,0.61,0.61,0.3904390756286443
100% Corpus,10,0.61,0.9099999999999999,0.3954153116256588
100% Corpus,10,0.61,symmetric,0.41982564322740423
100% Corpus,10,0.9099999999999999,0.01,0.4125229944361677
100% Corpus,10,0.9099999999999999,0.31,0.36144673111356873
100% Corpus,10,0.9099999999999999,0.61,0.3538244592740503
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3904691948586068
100% Corpus,10,0.9099999999999999,symmetric,0.3615946648185066
100% Corpus,10,symmetric,0.01,0.4272364197360409
100% Corpus,10,symmetric,0.31,0.38793818664612945
100% Corpus,10,symmetric,0.61,0.3534172585375857
100% Corpus,10,symmetric,0.9099999999999999,0.3980399147882908
100% Corpus,10,symmetric,symmetric,0.4411662524049869
100% Corpus,10,asymmetric,0.01,0.43320427143775236
100% Corpus,10,asymmetric,0.31,0.43902635129050627
100% Corpus,10,asymmetric,0.61,0.42448529142353264
100% Corpus,10,asymmetric,0.9099999999999999,0.4312757220534503
100% Corpus,10,asymmetric,symmetric,0.45152397587198634
