Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,0.31,0.2781252741480567
75% Corpus,3,0.9099999999999999,0.61,0.2609853749465281
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.23144726687959935
75% Corpus,3,0.9099999999999999,symmetric,0.24100674777673872
75% Corpus,3,symmetric,0.01,0.23238354709414208
75% Corpus,3,symmetric,0.31,0.28536531700067624
75% Corpus,3,symmetric,0.61,0.2321738699488538
75% Corpus,3,symmetric,0.9099999999999999,0.23309464431204793
75% Corpus,3,symmetric,symmetric,0.2670171677607636
75% Corpus,3,asymmetric,0.01,0.3044247873933932
75% Corpus,3,asymmetric,0.31,0.3297990129858171
75% Corpus,3,asymmetric,0.61,0.31805659240707057
75% Corpus,3,asymmetric,0.9099999999999999,0.3259449543057266
75% Corpus,3,asymmetric,symmetric,0.30954456269313574
75% Corpus,4,0.01,0.01,0.2898907513420351
75% Corpus,4,0.01,0.31,0.2961448498752972
75% Corpus,4,0.01,0.61,0.3151652645711275
75% Corpus,4,0.01,0.9099999999999999,0.32177128967215946
75% Corpus,4,0.01,symmetric,0.3312493510170389
75% Corpus,4,0.31,0.01,0.2762953194091947
75% Corpus,4,0.31,0.31,0.2718503982421732
75% Corpus,4,0.31,0.61,0.2639609749944791
75% Corpus,4,0.31,0.9099999999999999,0.2776482824851236
75% Corpus,4,0.31,symmetric,0.2536139593880051
75% Corpus,4,0.61,0.01,0.2560593594356152
75% Corpus,4,0.61,0.31,0.31342934112218096
75% Corpus,4,0.61,0.61,0.29857727832828684
75% Corpus,4,0.61,0.9099999999999999,0.27928920491895814
75% Corpus,4,0.61,symmetric,0.2304058508202136
75% Corpus,4,0.9099999999999999,0.01,0.24045095246956613
75% Corpus,4,0.9099999999999999,0.31,0.25188216521850043
75% Corpus,4,0.9099999999999999,0.61,0.31892210664260745
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.34058834249052117
75% Corpus,4,0.9099999999999999,symmetric,0.3058725381678645
75% Corpus,4,symmetric,0.01,0.252760671414199
75% Corpus,4,symmetric,0.31,0.2647059590868721
75% Corpus,4,symmetric,0.61,0.2815886219616387
75% Corpus,4,symmetric,0.9099999999999999,0.2881692425893053
75% Corpus,4,symmetric,symmetric,0.27882940934784145
75% Corpus,4,asymmetric,0.01,0.3311439383996343
75% Corpus,4,asymmetric,0.31,0.33662798738958
75% Corpus,4,asymmetric,0.61,0.3285353211927332
75% Corpus,4,asymmetric,0.9099999999999999,0.3248208796020488
75% Corpus,4,asymmetric,symmetric,0.39281143913749117
75% Corpus,5,0.01,0.01,0.3099130761115094
75% Corpus,5,0.01,0.31,0.37335200271697094
75% Corpus,5,0.01,0.61,0.33067093808083015
75% Corpus,5,0.01,0.9099999999999999,0.30733619302515836
75% Corpus,5,0.01,symmetric,0.3756183089180162
75% Corpus,5,0.31,0.01,0.3369180895608129
75% Corpus,5,0.31,0.31,0.3112796676146636
75% Corpus,5,0.31,0.61,0.29132877505066934
75% Corpus,5,0.31,0.9099999999999999,0.32146873286995453
75% Corpus,5,0.31,symmetric,0.2800476676943303
75% Corpus,5,0.61,0.01,0.31556323981867684
75% Corpus,5,0.61,0.31,0.29021761983423333
75% Corpus,5,0.61,0.61,0.30042957521161917
75% Corpus,5,0.61,0.9099999999999999,0.28234823902758505
75% Corpus,5,0.61,symmetric,0.30362590170851184
75% Corpus,5,0.9099999999999999,0.01,0.31612235214112194
75% Corpus,5,0.9099999999999999,0.31,0.3383372556604864
75% Corpus,5,0.9099999999999999,0.61,0.2957658575866676
